# Attractions: id,name,x,y,attractiveness
0,Rynek Glowny,50.2,62.8,9.2
1,Hala Targowa,53.7,58.1,6.4
2,Ostrow Tumski,47.3,70.5,8.7
3,Zoo Wroclaw,35.1,80.2,7.5
4,Panorama Raclawicka,60.4,55.9,8.1
5,Muzeum Narodowe,58.9,63.4,7.0
6,Hydropolis,42.6,65.7,6.8
7,Park Szczytnicki,38.5,75.3,5.9
8,Hala Stulecia,33.2,78.6,8.3
9,Dworzec Glowny,55.0,50.2,4.2
10,Ogrod Botaniczny,44.8,72.1,6.5
11,Sky Tower,62.3,48.7,5.8
12,Most Grunwaldzki,46.1,66.9,5.2
13,Galeria Dominikanska,52.5,60.3,4.8
14,Ratusz,49.8,63.1,7.8
15,Opera Wroclawska,54.2,64.7,6.9
16,Fontanna Multimedialna,32.8,76.4,7.2
17,Muzeum Architektury,48.5,68.2,5.5
18,Plac Solny,51.0,61.5,6.1
19,Nowy Targ,50.6,59.8,4.5
# Bus Edges: i,j
0,1
0,2
0,5
0,9
0,14
0,18
1,4
1,5
1,9
1,11
1,13
2,3
2,6
2,10
2,12
2,17
3,7
3,8
3,10
3,16
4,5
4,11
4,15
5,6
5,15
6,7
6,12
7,8
7,10
7,16
8,16
9,11
9,13
9,19
10,17
12,17
13,18
13,19
14,15
14,18
