# Attractions: id,name,x,y,attractiveness
0,Rynek Glowny,45.3,78.2,0.22
1,Hala Targowa,38.4,64.0,0.52
2,Ostrow Tumski,53.1,78.1,0.26
3,Zoo Wroclaw,62.9,50.5,0.22
4,Sky Tower,58.0,69.2,0.34
5,Hala Stulecia,36.0,70.8,0.51
6,Panorama Raclawicka,55.4,62.4,0.93
7,Ossolineum,49.4,64.6,0.97
8,Hydropolis,62.5,83.1,0.85
9,Afrykarium,26.9,83.1,0.55
10,Aquapark,50.1,54.1,0.71
11,Katedra Wroclawska,63.4,50.3,0.43
12,Ratusz,22.3,57.5,0.83
13,Nowy Targ,46.8,45.6,0.80
14,Plac Solny,38.6,47.1,1.00
15,Wyspa Slodowa,36.7,45.6,0.48
16,Opera Wroclawska,27.5,77.4,0.53
17,Filharmonia,56.8,73.0,0.89
18,Teatr Polski,32.7,68.9,0.92
19,Dworzec Glowny,46.4,64.1,0.24
20,Uniwersytet Wroclawski,62.0,74.9,0.45
21,Stadion Miejski,51.3,70.4,0.70
22,Park Szczytnicki,50.8,69.4,0.56
23,Ogrod Botaniczny,33.7,86.2,0.79
24,Most Grunwaldzki,44.4,50.4,0.55
25,Galeria Dominikanska,25.3,78.3,0.93
26,Wzgorze Partyzantow,35.7,57.7,0.23
27,Cmentarz Osobowicki,31.1,78.4,0.82
28,Synagoga Pod Bialym Bocianem,22.4,77.5,0.38
29,Zamek Krolewski,29.1,79.9,0.61
30,Muzeum Narodowe,51.6,63.5,0.66
31,Muzeum Miejskie,21.9,49.7,0.52
32,Muzeum Architektury,41.1,51.5,0.47
33,Muzeum Etnograficzne,63.1,59.7,0.60
34,Centrum Historii,53.8,79.8,0.31
35,Park Poludniowy,61.0,50.7,0.55
36,Park Grabiszynski,55.2,59.7,1.00
37,Fontanna Multimedialna,31.7,53.7,0.64
38,Kosciol sw Elzbiety,49.2,46.9,0.93
39,Kosciol sw Doroty,49.9,55.5,0.77
40,Kosciol sw Krzysztofa,58.8,59.6,0.46
41,Biblioteka Uniwersytecka,24.4,63.9,0.76
42,Brama Tumska,55.8,74.2,0.94
43,Bulwar Xawerego Dunikowskiego,54.6,77.7,0.58
44,Galeria Foto-Medium-Art,56.6,63.1,0.20
45,Muzeum Psie Pole,34.3,64.9,0.14
46,Dworek Dolny,59.9,68.6,0.59
47,Arena Biskupin,37.5,87.1,0.39
48,Palac Borek,53.2,51.0,0.48
49,Wieza Krzyki,34.8,51.2,0.95
50,Skwer Sloneczny,21.1,76.1,0.86
51,Rynek Wschodni,24.6,62.4,0.11
52,Zaulek Maly,45.3,74.1,0.19
53,Fontanna Sepolno,22.5,63.8,0.12
54,Muzeum Biskupin,28.6,52.1,0.72
55,Galeria Karlowice,52.5,45.3,0.25
56,Centrum Biskupin,21.5,81.6,0.70
57,Arena Wschodni,50.3,45.4,0.46
58,Stadion Sloneczny,50.8,81.8,0.19
59,Centrum Psie Pole,26.7,46.2,0.27
60,Dworek Oltaszyn,28.9,62.1,0.50
61,Ogrod Dolny,56.9,68.0,0.30
62,Brama Swojczyce,36.4,51.8,0.95
63,Rynek Oltaszyn,42.9,48.4,0.26
64,Kamienica Klecina,49.4,49.7,0.62
65,Skwer Sepolno,57.5,59.7,0.98
66,Ogrod Zielony,47.2,60.3,0.79
67,Plac Brochow,36.1,62.2,0.92
68,Park Psie Pole,46.0,66.2,0.64
69,Teatr Nowy,33.6,47.0,0.96
70,Zaulek Biskupin,57.7,56.0,0.47
71,Kaplica Wschodni,33.0,54.2,0.70
72,Kamienica Sloneczny,28.2,58.8,0.68
73,Kamienica Wielki,35.8,81.5,0.36
74,Kosciol Brochow,63.7,88.1,0.10
75,Rynek Swojczyce,62.9,79.5,0.27
76,Brama Gorny,62.6,63.6,0.81
77,Hala Sepolno,39.0,68.1,0.15
78,Brama Czerwony,38.6,83.8,0.92
79,Rynek Brochow,43.7,69.6,0.29
80,Brama Borek,55.4,82.5,0.19
81,Wieza Wschodni,51.7,48.6,0.44
82,Park Sloneczny,63.5,76.6,0.17
83,Bulwar Stary,38.6,67.7,0.73
84,Palac Bialy,32.2,60.7,0.78
85,Ogrod Sloneczny,53.8,65.0,0.73
86,Aleja Karlowice,63.6,58.4,0.74
87,Brama Karlowice,55.1,46.3,0.62
88,Palac Maly,53.5,59.1,0.96
89,Aleja Wschodni,53.4,76.7,0.73
90,Skwer Brochow,54.7,78.2,0.71
91,Kaplica Sloneczny,22.0,49.4,0.77
92,Galeria Krzyki,31.4,73.5,0.84
93,Aleja Zachodni,46.5,59.0,0.45
94,Wieza Psie Pole,42.4,78.4,0.72
95,Fontanna Brochow,23.9,52.5,0.55
96,Arena Bialy,22.9,76.3,0.34
97,Zaulek Karlowice,47.2,67.5,0.76
98,Rynek Sloneczny,44.3,77.6,0.75
99,Aquapark Nadodrzanski,38.1,81.8,0.32
100,Palac Nadodrzanski,24.4,77.5,0.54
101,Plac Wschodni,32.1,76.4,0.79
102,Hala Swojczyce,58.2,69.0,0.41
103,Bulwar Swojczyce,37.8,46.1,0.66
104,Skwer Wschodni,27.5,75.7,0.53
105,Zaulek Czerwony,38.5,88.3,0.23
106,Wyspa Swojczyce,39.6,61.7,0.98
107,Teatr Psie Pole,35.6,51.4,0.38
108,Park Wielki,58.9,64.1,0.12
109,Galeria Zachodni,54.8,79.0,0.13
110,Kamienica Nadodrzanski,31.0,53.0,0.33
111,Teatr Swojczyce,55.5,79.3,0.86
112,Most Gorny,64.8,69.3,0.28
113,Teatr Maly,22.2,54.3,0.64
114,Fontanna Krzyki,20.6,45.9,0.48
115,Ogrod Bialy,31.2,71.5,0.59
116,Arena Sloneczny,20.3,57.7,0.25
117,Bulwar Nadodrzanski,62.6,77.9,0.87
118,Arena Brochow,57.9,60.1,0.45
119,Stadion Zacisze,35.7,81.6,0.52
120,Ogrod Maly,37.3,83.2,0.44
121,Wieza Czerwony,60.4,58.7,0.68
122,Wyspa Zachodni,45.1,54.0,0.74
123,Aleja Sepolno,21.9,50.1,0.67
124,Centrum Gorny,20.6,84.4,0.14
125,Most Nowy,64.8,67.4,0.73
126,Bulwar Karlowice,61.0,51.2,0.51
127,Ogrod Nadodrzanski,20.0,65.4,0.61
128,Kaplica Brochow,52.1,70.6,0.57
129,Brama Biskupin,64.6,67.7,0.41
130,Wyspa Nadodrzanski,44.7,72.1,0.35
131,Aleja Bialy,22.8,71.9,0.51
132,Rynek Wielki,42.8,88.3,0.27
133,Skwer Zacisze,50.4,59.0,0.57
134,Palac Sloneczny,30.8,59.8,0.79
135,Plac Gorny,53.0,66.5,0.33
136,Teatr Borek,58.1,48.0,0.52
137,Plac Wielki,26.0,56.3,0.86
138,Brama Zielony,58.5,81.7,0.76
139,Wyspa Czerwony,52.3,67.7,0.52
140,Kino Borek,26.4,55.9,0.18
141,Fontanna Karlowice,27.8,74.9,0.46
142,Park Borek,51.7,77.2,0.21
143,Palac Zacisze,31.9,49.9,0.27
144,Skwer Wielki,56.6,88.2,0.12
145,Kaplica Oltaszyn,40.4,56.2,0.49
146,Muzeum Czerwony,28.8,61.4,0.49
147,Fontanna Nowy,51.1,87.2,0.44
148,Pomnik Bialy,41.8,83.4,0.94
149,Kaplica Psie Pole,23.7,60.5,0.81
150,Kamienica Sepolno,33.6,65.6,0.66
151,Aleja Nowy,39.7,55.4,0.70
152,Aleja Zielony,29.4,84.2,0.21
153,Kaplica Nadodrzanski,44.1,55.0,0.21
154,Zamek Zachodni,59.3,66.1,0.49
155,Centrum Oltaszyn,49.7,88.8,0.38
156,Skwer Nadodrzanski,36.9,74.1,0.18
157,Arena Wielki,21.6,79.6,0.73
158,Aquapark Dolny,21.1,78.4,0.87
159,Fontanna Zacisze,62.4,69.4,0.29
160,Teatr Wielki,42.6,87.8,0.32
161,Rynek Sepolno,42.3,66.3,0.49
162,Kosciol Nadodrzanski,22.2,89.3,0.28
163,Muzeum Krzyki,57.0,68.6,0.58
164,Skwer Maly,36.5,63.3,0.52
165,Kino Oltaszyn,62.6,74.4,0.82
166,Zamek Klecina,41.5,51.2,0.15
167,Brama Wschodni,36.7,66.8,0.22
168,Stadion Karlowice,43.4,65.7,0.71
169,Kamienica Dolny,24.3,50.8,0.35
170,Zaulek Krzyki,42.0,55.6,0.18
171,Teatr Nadodrzanski,54.3,62.0,0.95
172,Wyspa Wielki,51.3,51.3,0.20
173,Zaulek Stary,21.4,77.6,0.66
174,Kosciol Sepolno,32.6,68.0,0.50
175,Bulwar Klecina,53.9,87.0,0.55
176,Aquapark Krzyki,48.8,46.4,0.18
177,Stadion Zielony,63.6,50.6,0.46
178,Zamek Nadodrzanski,57.6,49.5,0.53
179,Kino Wschodni,40.8,69.4,0.56
180,Arena Swojczyce,55.5,82.6,0.95
181,Plac Swojczyce,52.6,78.5,0.11
182,Pomnik Zielony,23.6,52.2,0.49
183,Bulwar Gorny,42.2,81.5,0.49
184,Wieza Sloneczny,25.5,70.1,0.59
185,Zaulek Bialy,39.3,67.2,0.56
