# Attractions: id,name,x,y,attractiveness
0,Rynek Glowny,50.2,62.8,9.2
1,Hala Targowa,53.7,58.1,6.4
2,Ostrow Tumski,47.3,70.5,8.7
3,Zoo Wroclaw,35.1,80.2,7.5
4,Panorama Raclawicka,60.4,55.9,8.1
5,Muzeum Narodowe,58.9,63.4,7.0
6,Hydropolis,42.6,65.7,6.8
7,Park Szczytnicki,38.5,75.3,5.9
8,Hala Stulecia,33.2,78.6,8.3
9,Dworzec Glowny,55.0,50.2,4.2
10,Ogrod Botaniczny,44.8,72.1,6.5
11,Sky Tower,62.3,48.7,5.8
12,Most Grunwaldzki,46.1,66.9,5.2
13,Galeria Dominikanska,52.5,60.3,4.8
14,Ratusz,49.8,63.1,7.8
15,Opera Wroclawska,54.2,64.7,6.9
16,Fontanna Multimedialna,32.8,76.4,7.2
17,Muzeum Architektury,48.5,68.2,5.5
18,Plac Solny,51.0,61.5,6.1
19,Nowy Targ,50.6,59.8,4.5
20,Stadion Miejski,25.4,85.1,6.3
21,Afrykarium,34.8,81.5,8.0
22,Kosciol sw Elzbiety,49.1,64.5,7.1
23,Filharmonia,56.3,61.8,6.6
24,Centrum Historii,43.9,59.2,5.4
25,Park Poludniowy,57.8,52.6,5.0
26,Ossolineum,48.0,65.3,6.2
27,Aquapark,30.5,70.8,7.4
28,Zamek Krolewski,51.5,67.4,7.9
29,Muzeum Miejskie,50.0,63.9,5.7
# Bus Edges: i,j
0,1
0,2
0,5
0,9
0,14
0,18
0,22
0,29
1,4
1,5
1,9
1,11
1,13
1,23
2,3
2,6
2,10
2,12
2,17
2,28
3,7
3,8
3,10
3,16
3,21
4,5
4,11
4,15
4,23
4,25
5,6
5,15
5,23
6,7
6,12
6,26
6,27
7,8
7,10
7,16
8,16
8,20
8,21
9,11
9,13
9,19
9,25
10,17
10,26
12,17
12,26
12,28
13,18
13,19
13,24
14,15
14,18
14,22
14,29
15,23
16,20
16,27
17,28
18,19
20,21
22,26
22,29
24,25
24,27
26,28
